R_angstrom,E_RHF_cc-pVTZ_Eh
2.298492462311558,-0.8895675376637373
2.3226130653266335,-0.8870231105109172
2.3467336683417086,-0.8845249452028248
2.370854271356784,-0.8820722955442516
2.3949748743718593,-0.8796644171856064
2.419095477386935,-0.8773005683906268
2.44321608040201,-0.8749800107795417
2.4673366834170856,-0.8727020100459115
2.4914572864321607,-0.8704658366441831
2.5155778894472363,-0.8682707664439444
2.539698492462312,-0.8661160813466587
2.563819095477387,-0.8640010698609004
2.5879396984924625,-0.8619250276325775
2.6120603015075377,-0.8598872579275384
2.636180904522613,-0.8578870720648165
2.6603015075376883,-0.8559237897998416
2.684422110552764,-0.853996739657886
2.708542713567839,-0.8521052592189797
2.7326633165829146,-0.8502486953562232
2.75678391959799,-0.8484264044302068
2.7809045226130653,-0.8466377524425693
2.805025125628141,-0.8448821151520995
2.829145728643216,-0.8431588781571342
2.8532663316582916,-0.8414674369476937
2.8773869346733667,-0.8398071969311242
2.9015075376884423,-0.8381775734345042
2.925628140703518,-0.8365779916871454
2.949748743718593,-0.8350078867858948
2.9738693467336685,-0.833466703646039
2.9979899497487437,-0.8319538969398748
3.0221105527638192,-0.8304689310249611
3.0462311557788944,-0.8290112798636761
3.07035175879397,-0.8275804269352915
3.0944723618090455,-0.826175865141743
3.1185929648241206,-0.8247970967077941
3.142713567839196,-0.8234436330762247
3.1668341708542713,-0.822114994798573
3.190954773869347,-0.8208107114215596
3.215075376884422,-0.8195303213695926
3.2391959798994976,-0.8182733718233354
3.2633165829145727,-0.8170394185945489
3.2874371859296483,-0.8158280259971867
3.311557788944724,-0.8146387667148784
3.335678391959799,-0.8134712216648912
3.3597989949748746,-0.8123249798586546
3.3839195979899497,-0.8111996382590345
3.4080402010050252,-0.8100948016345826
3.4321608040201004,-0.8090100824109483
3.456281407035176,-0.8079451005198461
3.480402010050251,-0.8068994832458283
3.5045226130653266,-0.8058728650713493
3.528643216080402,-0.8048648875204338
3.5527638190954773,-0.8038751990015403
3.576884422110553,-0.8029034546499687
3.601005025125628,-0.8019493161704097
3.6251256281407036,-0.801012451680061
3.6492462311557787,-0.8000925355528685
3.6733668341708543,-0.7991892482653435
3.69748743718593,-0.7983022762444233
3.721608040201005,-0.7974313117179506
3.7457286432160806,-0.796576052567972
3.7698492462311557,-0.7957362021874641
3.7939698492462313,-0.794911469340689
3.8180904522613064,-0.794101568027619
3.842211055276382,-0.793306217352542
3.8663316582914575,-0.7925251413972658
3.8904522613065327,-0.7917580690988952
3.9145728643216082,-0.7910047341324671
3.9386934673366834,-0.7902648747984591
3.962814070351759,-0.7895382339152354
3.986934673366834,-0.7888245587164183
4.011055276381909,-0.7881236007531611
4.035175879396984,-0.787435115801268
4.05929648241206,-0.7867588637730014
4.083417085427135,-0.7860946086335422
4.107537688442211,-0.7854421183218258
4.131658291457287,-0.7848011646756698
4.155778894472362,-0.784171523360955
4.179899497487437,-0.7835529738046734
4.204020100502513,-0.7829452991315633
4.228140703517588,-0.7823482861042097
4.252261306532663,-0.7817617250662489
4.276381909547739,-0.7811854098885278
4.300502512562814,-0.7806191379179882
4.324623115577889,-0.7800627099289645
4.3487437185929645,-0.7795159300767496
4.3728643216080405,-0.7789786058531711
4.396984924623116,-0.7784505480439823
4.421105527638191,-0.7779315706878265
4.445226130653267,-0.7774214910366493
4.469346733668342,-0.7769201295173223
4.493467336683417,-0.7764273096943233
4.517587939698492,-0.7759428582333399
4.541708542713568,-0.7754666048656063
4.565829145728643,-0.7749983823529101
4.589949748743718,-0.7745380264530645
4.6140703517587935,-0.7740853758858111
4.63819095477387,-0.7736402722989926
4.662311557788945,-0.7732025602350071
4.68643216080402,-0.772772087097345
4.710552763819096,-0.7723487031172258
4.734673366834171,-0.7719322613202918
4.758793969849246,-0.7715226174932373
4.782914572864321,-0.771119630150411
4.807035175879397,-0.7707231605003354
4.831155778894472,-0.7703330724120957
4.8552763819095475,-0.7699492323816258
4.8793969849246235,-0.7695715094978689
4.903517587939699,-0.7691997754087686
4.927638190954774,-0.7688339042871661
4.951758793969849,-0.7684737727965311
4.975879396984925,-0.7681192600565863
5.0,-0.767770247608828
