R_angstrom,E_root0_Eh,E_root1_Eh,E_root2_Eh,E_root3_Eh,E_root4_Eh,E_root5_Eh
2.226086956521739,-1.0108115718077908,-1.01081157180778,-1.0108115718077777,-1.0108115718076733,-1.0108115718073354,-1.010811571807007
2.2753623188405796,-1.0093377599951474,-0.7099319372713837,-0.6911502633080638,-0.46123969922610186,-0.44790285770035887,-0.2058816343316189
2.32463768115942,-1.0080421662304935,-0.7075202556459554,-0.6910756615846718,-0.46003196975640803,-0.4474062821927697,-0.20770797343037106
2.3739130434782605,-1.0069062370107094,-0.7050813532556568,-0.690695559806046,-0.45888127070053664,-0.4471244025604578,-0.20937571504252098
2.4231884057971014,-1.0059126633452757,-0.7026214691894538,-0.6900466421744476,-0.4578248487379266,-0.4470491891246102,-0.2108732238963759
2.472463768115942,-1.0050454500223622,-0.7001461464903309,-0.6891622330654772,-0.4568923592106689,-0.4471671564104413,-0.21219472663143696
2.5217391304347823,-1.0042899448730394,-0.6976602864505336,-0.6880724404292543,-0.4561052930426682,-0.44746065541117874,-0.21333810728193783
2.571014492753623,-1.0036328342281493,-0.6951682240129176,-0.6868043400931264,-0.4554770985483342,-0.4479093578332086,-0.21430317553633857
2.6202898550724636,-1.0030621106526867,-0.6926738113303482,-0.6853821888112144,-0.4550138553380043,-0.4484916795924839,-0.21509061599002896
2.669565217391304,-1.002567018786827,-0.6901804993136347,-0.6838276537903463,-0.45471531385620856,-0.4491859854768794,-0.21570154206222616
2.718840579710145,-1.0021379848315295,-0.6876914106738001,-0.6821600477839971,-0.45457611413388443,-0.4499715057752294,-0.21613749142513572
2.7681159420289854,-1.0017665345282316,-1.0017665345282019,-1.0017665345281086,-1.0017665345280806,-1.0017665345278528,-1.0017665345277647
2.817391304347826,-1.0014452042777853,-1.001445204277785,-1.001445204277578,-1.0014452042773911,-1.001445204277238,-1.001445204277047
2.8666666666666667,-1.001167449041399,-1.0011674490413973,-1.0011674490411384,-1.0011674490410614,-1.001167449041031,-1.001167449040513
2.915942028985507,-1.000927550238996,-1.0009275502389932,-1.000927550238799,-1.000927550238505,-1.0009275502383643,-1.000927550238197
2.9652173913043476,-1.0007205261349097,-0.6754023135996762,-0.6726652735005335,-0.45587216347259596,-0.45465982161623164,-0.22357428323352968
3.0144927536231885,-1.0005420466006705,-0.6729919740053351,-0.6706205595005649,-0.45643164829762894,-0.45565543654144625,-0.2237220298485156
3.063768115942029,-1.000388353593793,-1.0003883535937883,-1.0003883535937206,-1.0003883535935023,-1.0003883535934308,nan
3.1130434782608694,-1.0002561882135457,-0.6682349381306052,-0.6664606314874514,-0.45773748406233183,-0.4576292765841219,-0.2232192108647172
3.16231884057971,-1.0001427247728727,-0.6658917846323616,-0.664359827545488,-0.4585951794765427,-0.4584583990718559,-0.22263968359700162
3.2115942028985507,-1.0000455120287703,-0.6635744015219649,-0.6622534668243871,-0.4595406285719676,-0.45920932368269934,-0.22188827598754352
