R_angstrom,E_FIC_aug-cc-pVQZ_hartree
1.031231231,-0.602407098
1.036036036,-0.602451009
1.040840841,-0.602485539
1.045645646,-0.602510902
1.05045045,-0.602527305
1.055255255,-0.602534952
1.06006006,-0.602534041
1.064864865,-0.602524767
1.06966967,-0.602507321
1.074474474,-0.602481888
1.079279279,-0.60244865
1.084084084,-0.602407786
1.088888889,-0.60235947
1.093693694,-0.602303871
1.098498498,-0.602241158
1.103303303,-0.602171493
1.108108108,-0.602095035
1.112912913,-0.602011941
1.117717718,-0.601922365
1.122522523,-0.601826455
1.127327327,-0.601724358
1.132132132,-0.601616218
1.136936937,-0.601502175
1.141741742,-0.601382366
1.146546547,-0.601256926
1.151351351,-0.601125987
1.156156156,-0.600989678
1.160960961,-0.600848124
1.165765766,-0.600701451
1.170570571,-0.600549778
1.175375375,-0.600393225
1.18018018,-0.600231908
1.184984985,-0.60006594
1.18978979,-0.599895434
1.194594595,-0.599720497
1.199399399,-0.599541238
1.204204204,-0.599357761
1.209009009,-0.599170169
1.213813814,-0.598978562
1.218618619,-0.598783039
1.223423423,-0.598583696
1.228228228,-0.598380629
1.233033033,-0.598173929
1.237837838,-0.597963688
1.242642643,-0.597749995
1.247447447,-0.597532937
1.252252252,-0.597312599
1.257057057,-0.597089066
1.261861862,-0.596862419
1.266666667,-0.596632739
1.271471471,-0.596400105
1.276276276,-0.596164594
1.281081081,-0.595926282
1.285885886,-0.595685244
1.290690691,-0.595441551
1.295495495,-0.595195277
1.3003003,-0.59494649
1.305105105,-0.59469526
1.30990991,-0.594441653
1.314714715,-0.594185736
1.31951952,-0.593927574
1.324324324,-0.593667229
1.329129129,-0.593404764
1.333933934,-0.59314024
1.338738739,-0.592873717
1.343543544,-0.592605253
1.348348348,-0.592334907
1.353153153,-0.592062733
1.357957958,-0.591788788
1.362762763,-0.591513125
1.367567568,-0.591235799
1.372372372,-0.59095686
1.377177177,-0.590676361
1.381981982,-0.590394351
1.386786787,-0.590110879
1.391591592,-0.589825994
1.396396396,-0.589539742
1.401201201,-0.589252171
1.406006006,-0.588963326
1.410810811,-0.588673251
1.415615616,-0.58838199
1.42042042,-0.588089587
1.425225225,-0.587796082
1.43003003,-0.587501518
1.434834835,-0.587205934
1.43963964,-0.586909372
1.444444444,-0.586611868
1.449249249,-0.586313463
1.454054054,-0.586014193
1.458858859,-0.585714095
1.463663664,-0.585413204
1.468468468,-0.585111558
1.473273273,-0.584809189
1.478078078,-0.584506133
1.482882883,-0.584202422
1.487687688,-0.583898089
1.492492492,-0.583593167
1.497297297,-0.583287687
1.502102102,-0.582981679
1.506906907,-0.582675175
1.511711712,-0.582368204
1.516516517,-0.582060795
1.521321321,-0.581752977
1.526126126,-0.581444778
1.530930931,-0.581136225
1.535735736,-0.580827346
1.540540541,-0.580518166
1.545345345,-0.580208713
1.55015015,-0.579899012
1.554954955,-0.579589087
1.55975976,-0.579278964
1.564564565,-0.578968665
1.569369369,-0.578658216
1.574174174,-0.578347639
1.578978979,-0.578036958
1.583783784,-0.577726193
1.588588589,-0.577415368
1.593393393,-0.577104504
1.598198198,-0.576793622
1.603003003,-0.576482742
1.607807808,-0.576171885
1.612612613,-0.575861072
1.617417417,-0.57555032
1.622222222,-0.575239651
1.627027027,-0.574929081
1.631831832,-0.574618631
1.636636637,-0.574308318
1.641441441,-0.57399816
1.646246246,-0.573688173
1.651051051,-0.573378377
1.655855856,-0.573068786
1.660660661,-0.572759418
1.665465465,-0.572450289
1.67027027,-0.572141414
1.675075075,-0.57183281
1.67987988,-0.571524491
1.684684685,-0.571216472
1.689489489,-0.570908768
1.694294294,-0.570601394
1.699099099,-0.570294363
1.703903904,-0.569987689
1.708708709,-0.569681386
1.713513514,-0.569375467
1.718318318,-0.569069946
1.723123123,-0.568764834
1.727927928,-0.568460145
1.732732733,-0.568155891
1.737537538,-0.567852083
1.742342342,-0.567548734
1.747147147,-0.567245855
1.751951952,-0.566943458
1.756756757,-0.566641554
1.761561562,-0.566340152
1.766366366,-0.566039266
1.771171171,-0.565738903
1.775975976,-0.565439076
1.780780781,-0.565139794
1.785585586,-0.564841066
1.79039039,-0.564542903
1.795195195,-0.564245313
1.8,-0.563948307
1.804804805,-0.563651893
1.80960961,-0.563356079
1.814414414,-0.563060876
1.819219219,-0.56276629
1.824024024,-0.562472331
1.828828829,-0.562179007
1.833633634,-0.561886324
1.838438438,-0.561594293
1.843243243,-0.561302919
1.848048048,-0.56101221
1.852852853,-0.560722174
1.857657658,-0.560432818
1.862462462,-0.560144149
1.867267267,-0.559856173
1.872072072,-0.559568897
1.876876877,-0.559282328
1.881681682,-0.558996472
1.886486486,-0.558711336
1.891291291,-0.558426924
1.896096096,-0.558143244
