R_angstrom,E_CCSD_aug-cc-pVQZ_Eh
1.354308617234469,-1.0887111083747583
1.3639278557114227,-1.0872440632014828
1.3735470941883767,-1.0857894361971225
1.3831663326653305,-1.0843474755040337
1.3927855711422845,-1.0829184147824535
1.4024048096192383,-1.0815024737326604
1.4120240480961923,-1.0800998585914048
1.421643286573146,-1.078710762603203
1.4312625250501,-1.077335366468504
1.440881763527054,-1.0759738387700506
1.4505010020040079,-1.0746263363776027
1.460120240480962,-1.0732930048337979
1.4697394789579157,-1.0719739787212488
1.4793587174348697,-1.070669382011822
1.4889779559118235,-1.0693793283999804
1.4985971943887775,-1.0681039216200918
1.5082164328657313,-1.0668432557489518
1.5178356713426853,-1.065597415495275
1.5274549098196393,-1.0643664764754646
1.537074148296593,-1.0631505054773176
1.546693386773547,-1.061949560712666
1.5563126252505008,-1.06076369205812
1.5659318637274549,-1.0595929412877843
1.5755511022044086,-1.0584373422940674
1.5851703406813626,-1.0572969213017256
1.5947895791583164,-1.0561716970724024
1.6044088176352704,-1.0550616811027598
1.6140280561122244,-1.0539668778145996
1.6236472945891782,-1.0528872847386568
1.6332665330661322,-1.051822892693544
1.642885771543086,-1.050773685958264
1.65250501002004,-1.0497396424401846
1.6621242484969938,-1.0487207338388087
1.6717434869739478,-1.0477169258059713
1.6813627254509016,-1.0467281781020372
1.6909819639278556,-1.0457544447496356
1.7006012024048096,-1.0447956741846551
1.7102204408817634,-1.0438518094054232
1.7198396793587174,-1.042922788119799
1.7294589178356712,-1.0420085428910293
1.7390781563126252,-1.0411090012824755
1.748697394789579,-1.040224086001793
1.758316633266533,-1.0393537150438967
1.7679358717434868,-1.0384978018344766
1.7775551102204408,-1.0376562553725999
1.7871743486973948,-1.0368289803737847
1.7967935871743486,-1.0360158774129256
1.8064128256513026,-1.0352168430674917
1.8160320641282564,-1.0344317700610939
1.8256513026052104,-1.03366054740708
1.8352705410821641,-1.0329030605622558
1.8448897795591181,-1.0321591915391892
1.854509018036072,-1.0314288190895733
1.864128256513026,-1.0307118188284297
1.87374749498998,-1.030008063382506
1.8833667334669337,-1.0293174227611455
1.8929859719438877,-1.028639763368723
1.9026052104208415,-1.027974950412919
1.9122244488977955,-1.027322845783839
1.9218436873747493,-1.0266833093293388
1.9314629258517033,-1.0260561987708454
1.941082164328657,-1.0254413698035447
1.950701402805611,-1.0248386763982775
1.9603206412825651,-1.024247970746926
1.969939879759519,-1.0236691033734455
1.979559118236473,-1.0231019234945544
1.9891783567134267,-1.022546278896443
1.9987975951903807,-1.0220020165600996
2.0084168336673347,-1.0214689820547609
2.0180360721442887,-1.0209470201491504
2.0276553106212423,-1.0204359749665943
2.0372745490981963,-1.0199356896304204
2.0468937875751503,-1.0194460070804992
2.0565130260521043,-1.0189667697261602
2.0661322645290583,-1.018497819680933
2.075751503006012,-1.018038998876176
2.085370741482966,-1.0175901491725712
2.09498997995992,-1.0171511124681758
2.104609218436874,-1.0167217308038548
2.1142284569138274,-1.0163018464654627
2.1238476953907814,-1.0158913020830416
2.1334669338677354,-1.0154899407268771
2.1430861723446895,-1.0150976060003867
2.1527054108216435,-1.0147141421295445
2.162324649298597,-1.0143393940620904
2.171943887775551,-1.013973207500544
2.181563126252505,-1.0136154290563515
2.191182364729459,-1.0132659062773037
2.200801603206413,-1.0129244877327415
2.2104208416833666,-1.0125910230835657
2.2200400801603206,-1.0122653631487373
2.2296593186372746,-1.0119473599686135
2.2392785571142286,-1.0116368668650326
2.2488977955911826,-1.011333738497943
2.258517034068136,-1.0110378309191572
2.26813627254509,-1.010749001622572
2.277755511022044,-1.0104671095916735
2.287374749498998,-1.0101920153434947
2.296993987975952,-1.0099235809697984
2.306613226452906,-1.0096616701753331
2.31623246492986,-1.009406148313038
2.325851703406814,-1.009156882416152
2.335470941883768,-1.0089137412280795
2.3450901803607214,-1.0086765952289531
2.3547094188376754,-1.0084453166597882
2.3643286573146294,-1.0082197795440762
2.3739478957915834,-1.0079998597066757
2.383567134268537,-1.0077854347903745
2.393186372745491,-1.0075763842698884
2.402805611222445,-1.007372589463894
2.412424849699399,-1.0071739335446015
2.422044088176353,-1.0069803015449987
2.4316633266533065,-1.006791580364483
2.4412825651302605,-1.0066076587720756
2.4509018036072145,-1.0064284274081414
2.4605210420841686,-1.006253778783757
2.470140280561122,-1.0060836072788344
2.479759519038076,-1.005917809138393
2.48937875751503,-1.005756282466979
2.498997995991984,-1.0055989272220924
2.508617234468938,-1.005445645205713
2.5182364729458917,-1.0052963400547337
2.5278557114228457,-1.0051509172300523
2.5374749498997997,-1.0050092840042826
2.5470941883767537,-1.0048713494487074
2.5567134268537073,-1.0047370244187068
2.5663326653306613,-1.004606221538603
2.5759519038076153,-1.0044788551852493
2.5855711422845693,-1.0043548414709582
2.5951903807615233,-1.0042340982255087
2.604809619238477,-1.0041165449775742
2.614428857715431,-1.004002102935198
2.624048096192385,-1.0038906949658912
2.633667334669339,-1.003782245576162
2.6432865731462925,-1.0036766808902453
2.6529058116232465,-1.003573928628782
2.6625250501002005,-1.0034739180867025
2.6721442885771545,-1.003376580111099
2.6817635270541085,-1.003281847078398
2.691382765531062,-1.0031896528716486
2.701002004008016,-1.0030999328571701
2.71062124248497,-1.0030126238614847
2.720240480961924,-1.002927664147601
2.7298597194388776,-1.0028449933914794
2.7394789579158316,-1.002764552658361
2.7490981963927856,-1.0026862843789996
2.7587174348697396,-1.0026101323258285
2.7683366733466936,-1.0025360415892723
2.777955911823647,-1.0024639585539308
2.787575150300601,-1.00239383087492
2.797194388777555,-1.0023256074542863
2.8068136272545092,-1.002259238417432
2.816432865731463,-1.0021946750897852
2.826052104208417,-1.0021318699735011
2.835671342685371,-1.0020707767244241
2.845290581162325,-1.0020113501290917
2.854909819639279,-1.0019535460820705
2.8645290581162324,-1.0018973215633797
2.8741482965931864,-1.0018426346161806
2.8837675350701404,-1.0017894443247441
2.8933867735470944,-1.0017377107925771
2.903006012024048,-1.001687395120801
2.912625250501002,-1.0016384593868708
2.922244488977956,-1.0015908666234532
2.93186372745491,-1.0015445807977423
2.941482965931864,-1.0014995667907844
2.9511022044088175,-1.0014557903774053
2.9607214428857715,-1.0014132182061684
2.9703406813627256,-1.001371817779757
2.9799599198396796,-1.0013315574356993
2.989579158316633,-1.0012924063272461
2.999198396793587,-1.0012543344046128
3.008817635270541,-1.0012173123966468
3.018436873747495,-1.0011813117926514
3.028056112224449,-1.0011463048245237
3.0376753507014027,-1.0011122644493209
3.0472945891783567,-1.0010791643320458
3.0569138276553107,-1.0010469788287386
3.0665330661322647,-1.0010156829698602
3.0761523046092183,-1.0009852524442404
3.0857715430861723,-1.0009556635826036
3.0953907815631263,-1.000926893342509
3.1050100200400803,-1.0008989192928166
3.1146292585170343,-1.0008717195985
3.124248496993988,-1.0008452730055146
