R_angstrom,E_singlet_root_0,E_singlet_root_1,E_singlet_root_2,E_singlet_root_3,E_singlet_root_4,E_singlet_root_5,E_triplet_root_0,E_triplet_root_1,E_triplet_root_2,E_triplet_root_3,E_triplet_root_4,E_triplet_root_5
0.6100502512562813,-1.1582881256497477,-0.6398502584621713,-0.49435064907192006,-0.4308469921815461,-0.2402715990598807,-0.13213203398355455,-0.6997426576051178,-0.5742626372792103,-0.4141750179292498,-0.1910637467343519,-0.08111089258455895,-0.0018012647667767778
0.6341708542713568,-1.164062863474443,-0.6527486468642293,-0.5081092250218063,-0.44304873333540573,-0.25430465818408143,-0.14853368322534788,-0.7183202268015448,-0.5892569415874328,-0.42973146984418953,-0.20402759440171614,-0.09471146105206374,-0.020234823368897037
0.6582914572864322,-1.1682898939685613,-0.6638393917936567,-0.5200604597198553,-0.4534427547645925,-0.2665158984267837,-0.1633665001633955,-0.7352995266806879,-0.6023990661544003,-0.4438068720755648,-0.21452469150660725,-0.10638492269727107,-0.037895653611114355
0.6824120603015076,-1.171195466676184,-0.6733572932513499,-0.5304365349834885,-0.4622666220145597,-0.2771391342274354,-0.17698383572363896,-0.7508978252209231,-0.6139106699352237,-0.4564874710457345,-0.22358196969660127,-0.11634319692977002,-0.054214038840280976
0.7065326633165829,-1.1729712889036195,-0.6815024602363531,-0.5394369354554789,-0.4697227728356892,-0.28637353138082733,-0.1897674805222982,-0.7652955016185552,-0.6239828347399601,-0.4678347513234342,-0.23185355828842102,-0.12476772977918205,-0.0688605964458312
0.7306532663316583,-1.1737805421670395,-0.6884462720630503,-0.5472350328585357,-0.47598448079278455,-0.2943895673511815,-0.20214704934013628,-0.7786424981108352,-0.63278171857574,-0.4779218500681165,-0.23967191322881498,-0.13181633890470845,-0.08174022696922079
0.7547738693467336,-1.173762717021734,-0.6943361900740043,-0.553982912548684,-0.48120077505610814,-0.30133384312404254,-0.21459839299409167,-0.791063610645352,-0.6404523667778456,-0.4868379741537706,-0.24716619963003938,-0.13762884553371735,-0.09292385214052534
0.778894472361809,-1.1730375131489792,-0.6992996509383617,-0.5598144636863823,-0.48550061609700645,-0.30733298143909793,-0.22759945121098735,-0.8026628820724951,-0.6471216695234289,-0.4946810979288051,-0.25436322412356505,-0.1423316775877902,-0.10262768457229043
0.8030150753768843,-1.1717080061528131,-0.7034472319973796,-0.5648471833053982,-0.4889964004309396,-0.3124967941841157,-0.24152987294961492,-0.813527258429043,-0.6529008641846331,-0.5015501236318071,-0.26124981299238925,-0.1460415439736359,-0.1180798690237409
0.8271356783919597,-1.1698632384559664,-0.706875231613715,-0.5691834500827906,-0.49178686143686123,-0.31692086184943125,-0.2565485904964574,-0.8237296379044978,-0.657887693625804,-0.5075397327750859,-0.2678043844775483,-0.14886823451577735,-0.13998384346953274
0.8512562814070352,-1.1675803540148117,-0.7096677885980084,-0.5729119311517233,-0.4939594651053244,-0.3206886506816986,-0.2725431166485439,-0.8333313969989605,-0.6621682519145581,-0.5127377702818593,-0.27401007715646564,-0.16083296494585064,-0.15091658974940736
0.8753768844221106,-1.1649263670978196,-0.7118986378093837,-0.5761093735347447,-0.49559242517317537,-0.32387326228795643,-0.28920600605295066,-0.8423844842075832,-0.6658185569329778,-0.5172243070674818,-0.2798586886624589,-0.18062597429495308,-0.15228766694389562
0.8994974874371859,-1.1619596342733418,-0.7136325769642314,-0.5788426488567556,-0.4967565002250566,-0.3265388931461518,-0.3061716011545399,-0.8509331479869436,-0.6689058829708315,-0.5210715917477252,-0.28535079130885277,-0.19941994009503727,-0.1530792274903119
0.9236180904522613,-1.158731084591043,-0.7149267022708286,-0.5811707881597148,-0.49751673823572484,-0.3287420606100654,-0.32311460815007187,-0.8590153583896281,-0.6714898955650088,-0.524344466561038,-0.2904948447425949,-0.21727009526435115,-0.15338559151603726
0.9477386934673366,-1.1552852525645256,-0.7158314554445613,-0.5831468110508484,-0.49793433443999735,-0.3397840302306375,-0.33053263789018217,-0.8666639715869748,-0.6736236202091379,-0.5271009399384228,-0.2953067990695206,-0.23422503028018182,-0.1532970515445975
0.971859296482412,-1.1516611501657188,-0.7163915148416194,-0.5848192808399663,-0.49806880709985746,-0.3559973772406779,-0.3319547308519274,-0.8739076791368775,-0.6753542724582963,-0.5293927956967178,-0.2998113655988365,-0.25032410788076653,-0.1528990054651993
0.9959798994974873,-1.1478930070173479,-0.7166465575895035,-0.586233614666907,-0.4979807840162561,-0.37162139834909513,-0.3330474230406347,-0.8807717781531611,-0.6767239717041317,-0.5312661781857256,-0.3040475251720486,-0.2655916165971979,-0.15318202633865008
1.0201005025125627,-1.1440109016253088,-0.7166319140050658,-0.5874332231427201,-0.49773594434495283,-0.3865517755419948,-0.3338454107025367,-0.8872787929639071,-0.6777703562492755,-0.532762144260777,-0.30808686751952463,-0.28001835831659705,-0.16113547721645916
1.0442211055276382,-1.1400413016896187,-0.7163791306045999,-0.588460548236039,-0.49741094671533603,-0.40069443629025314,-0.33437954593225006,-0.8934489754198807,-0.6785271196082394,-0.5339171978870405,-0.31210543272830027,-0.293489875828454,-0.17106032539347138
1.0683417085427136,-1.136007527890103,-0.7159164584084995,-0.5893580722674711,-0.49710286545330185,-0.413947084549225,-0.3346773030932153,-0.8993007049738616,-0.6790244735975227,-0.5347638137863407,-0.3167449413639598,-0.3054251489029912,-0.18225991926464935
1.092462311557789,-1.1319301524210181,-0.7152692771420494,-0.5901693553893858,-0.49694420489198676,-0.42617787753467207,-0.334763181178214,-0.9048508082374102,-0.679289553471348,-0.5353309889651076,-0.32413649704241343,-0.31375258698571484,-0.1939977529452135
1.1165829145728643,-1.1278273418194713,-0.7144604658741833,-0.5909400977344377,-0.49712494815378844,-0.43719892800409615,-0.33465905269336144,-0.9101148130680403,-0.6793467705548111,-0.5356448251855899,-0.3345038720081775,-0.318306125627631,-0.2058117040530601
1.1407035175879396,-1.1237151520129576,-0.7135107297192377,-0.5917192217066797,-0.49791518664482237,-0.44674049395240645,-0.3343844729283516,-0.9151071496496669,-0.6792181206171316,-0.5357291086424673,-0.34542971310277415,-0.32155811410874446,-0.2174581403813759
