R_angstrom,E_CCSD,E_exc_1,E_exc_2,E_exc_3
2.3226130653266335,-1.0092371389022052,-0.7269871807521784,-0.7136065317062201,-0.6351067708400444
2.3467336683417086,-1.0086338813729316,-0.7260364073636736,-0.7135767689863582,-0.634338501010037
2.370854271356784,-1.0080673775994493,-0.7250833374565231,-0.7134879803232652,-0.633599843052257
2.3949748743718593,-1.0075356679699825,-0.7241283630223879,-0.7133434427998757,-0.6328906449921113
2.419095477386935,-1.0070368650619983,-0.7231718616844893,-0.7131463385537252,-0.6322106425176905
2.44321608040201,-1.006569154725867,-0.722214197047361,-0.7128997473585857,-0.6315594721535165
2.4673366834170856,-1.0061307966373951,-0.7212557190220803,-0.7126066413571606,-0.6309366830793093
2.4914572864321607,-1.0057201243697707,-0.7202967641516129,-0.7122698815634296,-0.6303417478662849
2.5155778894472363,-1.0053355450349377,-0.719337653427566,-0.7118922095304232,-0.6297740652162019
2.539698492462312,-1.0049755385431767,-0.7183787024268498,-0.7114762814793802,-0.6292329965150313
2.563819095477387,-1.0046386565291057,-0.7174202070456772,-0.7110245916391091,-0.6287178350600432
2.5879396984924625,-1.004323520989678,-0.7164624533630817,-0.7105395565660627,-0.6282278477213931
2.6120603015075377,-1.0040288226777094,-0.7155057155652946,-0.7100234717844132,-0.6277622401746626
2.636180904522613,-1.003753319291777,-0.7145502562272131,-0.709478523713566,-0.6273202182562242
2.6603015075376883,-1.0034958335002209,-0.713596326593863,-0.7089067919523282,-0.6269009585363111
2.684422110552764,-1.0032552508339836,-0.7126441656157617,-0.7083102508365777,-0.6265036271347018
2.708542713567839,-1.003030517479891,-0.7116940051209921,-0.7076907773883447,-0.6261273721213966
2.7326633165829146,-1.0028206380026488,-0.7107460629466855,-0.70705014837592,-0.6257713418712259
2.75678391959799,-1.0026246730205566,-0.7098005478934326,-0.706390047262001,-0.6254346888721374
2.7809045226130653,-1.002441736857534,-0.7088576592913314,-0.7057120650642961,-0.6251165636447582
2.805025125628141,-1.0022709951904463,-0.7079175870208386,-0.7050177437379012,-0.6242863922020944
2.829145728643216,-1.0021116627084776,-0.7069805089806083,-0.7043084415487164,-0.6242515662014582
2.8532663316582916,-1.0019630007987346,-0.7060465975500194,-0.7035855318953945,-0.6242173891578636
2.8773869346733667,-1.0018243152699837,-0.7051160151494235,-0.7028502814995172,-0.6241836468010358
2.9015075376884423,-1.001694954124376,-0.7041889160110554,-0.7021038327687357,-0.6241501537546001
2.925628140703518,-1.0015743053849904,-0.7032654453376697,-0.701347418510588,-0.6241167443633137
2.949748743718593,-1.0014617949857492,-0.702345742784348,-0.7005820426863523,-0.6240832785149387
2.9738693467336685,-1.0013568847283085,-0.7014299392335768,-0.6998087005430749,-0.6240496332359267
2.9979899497487437,-1.0012590703092352,-0.70051815814128,-0.6990283292560238,-0.6240157043798169
3.0221105527638192,-1.0011678794199435,-0.6996105164693931,-0.6982418094603344,-0.6239814041302447
3.0462311557788944,-1.0010828699197754,-0.6987071246161116,-0.6974499679791292,-0.6239466594170756
3.07035175879397,-1.0010036280824381,-0.6978080866676677,-0.6966535803474332,-0.6239114104685347
3.0944723618090455,-1.0009297669146529,-0.6969135006530076,-0.6958533733097912,-0.623875609467308
3.1185929648241206,-1.0008609245455633,-0.6960234587796873,-0.6950500272801675,-0.6238392193115054
3.142713567839196,-1.000796762687067,-0.6951380476600448,-0.694244186473629,-0.6238022124744306
3.1668341708542713,-1.0007369651677245,-0.694257348537347,-0.6934364361008905,-0.6237645699568829
3.190954773869347,-1.0006812365476543,-0.6933814375125966,-0.6926273510679775,-0.6237262803590328
3.215075376884422,-1.000629300825752,-0.6925103857880348,-0.6918174410280296,-0.6236873390655933
3.2391959798994976,-1.000580900248324,-0.691644259919493,-0.6910072082976216,-0.6236477475601131
3.2633165829145727,-1.0005357942151465,-0.6907831220601666,-0.690197106118745,-0.6236075128475992
3.2874371859296483,-1.0004937582603974,-0.689927031262785,-0.6893875581450526,-0.6235666458681134
3.311557788944724,-1.0004545830732696,-0.6890760392440879,-0.6885790066028016,-0.6235251653277036
3.335678391959799,-1.0004180735326607,-0.6882301969997278,-0.6877717324214152,-0.6234830903219574
3.3597989949748746,-1.000384047754325,-0.6873895505152903,-0.686966123431889,-0.6234404443878984
3.3839195979899497,-1.0003523396475285,-0.68655414209963,-0.6861624827030341,-0.6233972417762983
3.4080402010050252,-1.0003227850675471,-0.6857240092956082,-0.6853611361712229,-0.6233535322525596
3.4321608040201004,-1.000295239046759,-0.6848991871315162,-0.6845623462739205,-0.6233093367531192
3.456281407035176,-1.0002695640196604,-0.6840797065170382,-0.6837663675174211,-0.62326468683702
3.480402010050251,-1.0002456316911787,-0.6832655948349253,-0.6829734607512324,-0.6232196150410277
3.5045226130653266,-1.000223322424918,-0.682456876046751,-0.6821837949447019,-0.6231741545421584
3.528643216080402,-1.0002025246739017,-0.6816535707895136,-0.6813975923464783,-0.6231283388253491
3.5527638190954773,-1.0001831344485315,-0.6808556964683796,-0.680615036577555,-0.6230822013774646
3.576884422110553,-1.0001650548185819,-0.680063267348643,-0.6798362960413172,-0.6230357753899542
3.601005025125628,-1.0001481954464329,-0.6792762938874624,-0.6790615248207705,-0.6229890917456096
3.6251256281407036,-1.0001324721505311,-0.6784947859259788,-0.6782908635302214,-0.6229421853580963
3.6492462311557787,-1.0001178064968073,-0.6777187480176212,-0.6775244401244874,-0.6228950854199713
3.6733668341708543,-1.0001041254163503,-0.6769481827731443,-0.6767623706689682,-0.6228478212279034
3.69748743718593,-1.0000913608491406,-0.6761830901438713,-0.6760047600748935,-0.6228004204892891
3.721608040201005,-1.000079449410249,-0.6754234675229789,-0.6752516902335888,-0.6227529091069538
3.7457286432160806,-1.0000683779835073,-0.6746693969432647,-0.6745033428889126,-0.6227054290682079
3.7698492462311557,-1.0000580008172784,-0.6739206985521602,-0.6737596373739204,-0.622657768161913
3.7939698492462313,-1.0000483115655396,-0.673177448107043,-0.6730207122559229,-0.6226100613904324
3.8180904522613064,-1.0000392626336585,-0.6724396340497969,-0.6722866266705612,-0.6225623256523912
3.842211055276382,-1.0000308097412463,-0.6717072429360925,-0.671557432487185,-0.6225145752274064
3.8663316582914575,-1.000022911666335,-0.6709802595716128,-0.6708331742275397,-0.622466821766396
3.8904522613065327,-1.0000155301142895,-0.6702586672277155,-0.6701138911654687,-0.6224190740386414
3.9145728643216082,-1.000008629420915,-0.6695424477288053,-0.6693996155060046,-0.6223713381316957
3.9386934673366834,-1.0000021753382833,-0.66883158212135,-0.6686903782820962,-0.6223236189340116
3.962814070351759,-0.9999961404625783,-0.6681260488295424,-0.6679861946751897,-0.6222759115884262
3.986934673366834,-0.9999904907288969,-0.6674258280379484,-0.6672870948387283,-0.6222282247251285
4.011055276381909,-0.9999852057848909,-0.666730896488502,-0.666593079007337,-0.6221805434263195
4.035175879396984,-0.999980257679876,-0.666041232342815,-0.665904164765895,-0.6221328567800755
4.05929648241206,-0.999975623362249,-0.66535681298168,-0.6652203608573594,-0.6220851599165658
4.083417085427135,-0.9999712784750084,-0.6646776177098379,-0.664541665597429,-0.6220374414047725
4.107537688442211,-0.9999672086980866,-0.6640036194338756,-0.6638680973531395,-0.6219896843304076
4.131658291457287,-0.999963394255005,-0.6633347973767361,-0.6631996463745726,-0.6219418697252521
4.155778894472362,-0.9999598142213366,-0.6626711312241967,-0.6625363210982446,-0.6218939831810789
4.179899497487437,-0.9999564578392893,-0.6620125973544638,-0.661878107496063,-0.6218459962733847
4.204020100502513,-0.9999533067689029,-0.6613591768216124,-0.6612250110858917,-0.6217978905921205
4.228140703517588,-0.9999503475861876,-0.6607108490716785,-0.6605770275558672,-0.6217496378247734
4.252261306532663,-0.9999475697954361,-0.6600675964262991,-0.6599341478469294,-0.6217012153346994
4.276381909547739,-0.9999449597129548,-0.6594294016442883,-0.6592963726829865,-0.6216525962776787
4.300502512562814,-0.9999425047643853,-0.6587962500861676,-0.6586636998908384,-0.6216037514321442
4.324623115577889,-0.9999401994099049,-0.6581681258868869,-0.6580361164519477,-0.6215546464187675
4.3487437185929645,-0.999938029164081,-0.657545018474557,-0.6574136304605451,-0.6215052595011783
4.3728643216080405,-0.9999359876991312,-0.6569269165395024,-0.656796233792356,-0.6214555560352231
4.396984924623116,-0.9999340635779312,-0.6563138124179038,-0.6561839311379258,-0.6214055089205439
4.421105527638191,-0.999932211096769,-0.6557056098547529,-0.6555766437523003,-0.621354971970054
4.445226130653267,-0.9999305147207868,-0.6551024835128638,-0.6549745058464949,-0.6213041431075392
4.469346733668342,-0.9999289039677375,-0.6545043474081749,-0.6543774862425116,-0.6212528796346868
4.493467336683417,-0.9999274004803377,-0.6539111924588554,-0.6537855355932779,-0.6212011287280855
4.517587939698492,-0.9999259683000863,-0.6533230318395364,-0.6531987169892403,-0.6211488949072232
4.541708542713568,-0.9999246258861267,-0.6527398628464189,-0.6526169935115578,-0.6210961207396642
4.565829145728643,-0.9999233646201635,-0.652161695594699,-0.652040382503646,-0.6210427797470305
4.589949748743718,-0.999922164680469,-0.65158854419458,-0.6514689203075072,-0.6209888556427442
4.6140703517587935,-0.9999210360710193,-0.6510204180999604,-0.6509025962314072,-0.6209343011154302
4.63819095477387,-0.9999199691871511,-0.6504573343044152,-0.6503414339200669,-0.6208790915824277
4.662311557788945,-0.9999189581353499,-0.649899312880817,-0.6497854521446036,-0.6208232006249461
4.68643216080402,-0.9999180003934072,-0.6493463707041471,-0.6492346671921548,-0.6207665861575179
4.710552763819096,-0.9999170909756206,-0.648798527481248,-0.6486890882732145,-0.6207092078438287
4.734673366834171,-0.9999162270642211,-0.6482558148473955,-0.648148774135208,-0.620651058307672
4.758793969849246,-0.9999154092892383,-0.6477182579406731,-0.6476137223079401,-0.6205921001658524
4.782914572864321,-0.9999146348255932,-0.647185890928914,-0.647083974116423,-0.6205323016928469
4.807035175879397,-0.9999139045274155,-0.6466587513762262,-0.6465595597606801,-0.6204716297313392
4.831155778894472,-0.9999132125335195,-0.6461368795934133,-0.6460405197952916,-0.6204100546648803
4.8552763819095475,-0.9999125531736279,-0.6456203209767803,-0.6455268996114883,-0.6203475446529765
4.8793969849246235,-0.999912011935948,-0.6451091612887605,-0.6450187486527967,-0.6202841766094402
4.903517587939699,-0.9999114249494412,-0.6446033523337207,-0.6445160648240869,-0.6202196654683377
4.927638190954774,-0.9999108665452661,-0.6441029916847156,-0.6440189202966342,-0.6201540989389797
4.951758793969849,-0.9999103280268047,-0.6436081366265614,-0.6435273754493726,-0.6200874382976336
4.975879396984925,-0.9999098238216358,-0.6431188295724133,-0.6430414521319577,-0.6200196224728884
5.0,-0.9999093547213295,-0.6426351271421941,-0.6425612009738146,-0.6199506023924096
