R_angstrom,E_CCSD_aug-cc-pV5Z_Eh
1.7967935871743486,-1.0361845327428332
1.8064128256513026,-1.0353844594921482
1.8160320641282564,-1.0345983414650874
1.8256513026052104,-1.0338260682470715
1.8352705410821641,-1.0330675258999065
1.8448897795591181,-1.032322597102707
1.854509018036072,-1.0315911612948139
1.864128256513026,-1.0308730948087774
1.87374749498998,-1.030168271022161
1.8833667334669337,-1.0294765604902092
1.8929859719438877,-1.0287978310876424
1.9026052104208415,-1.0281319481481177
1.9122244488977955,-1.0274787746030871
1.9218436873747493,-1.0268381711204004
1.9314629258517033,-1.026209996241915
1.941082164328657,-1.0255941065206216
1.950701402805611,-1.024990356656601
1.9603206412825651,-1.024398599632351
1.969939879759519,-1.0238186868465944
1.979559118236473,-1.0232504682471761
1.9891783567134267,-1.0226937924623818
1.9987975951903807,-1.022148506930949
2.0084168336673347,-1.0216144580302562
2.0180360721442887,-1.0210914912029032
2.0276553106212423,-1.020579451081387
2.0372745490981963,-1.0200781816108495
2.0468937875751503,-1.0195875261694616
2.0565130260521043,-1.0191073276869649
2.0661322645290583,-1.0186374287604953
2.075751503006012,-1.0181776717681488
2.085370741482966,-1.0177278989798852
2.09498997995992,-1.0172879526602236
2.104609218436874,-1.0168576752017118
2.1142284569138274,-1.0164369091742123
2.1238476953907814,-1.016025497474746
2.1334669338677354,-1.0156232834017724
2.1430861723446895,-1.015230110752661
2.1527054108216435,-1.014845823914471
2.162324649298597,-1.0144702679514166
2.171943887775551,-1.014103288689484
2.181563126252505,-1.0137447327972726
2.191182364729459,-1.0133944478640466
2.200801603206413,-1.0130522824743373
2.2104208416833666,-1.0127180862791334
2.2200400801603206,-1.012391710064087
2.2296593186372746,-1.0120730058141383
2.2392785571142286,-1.0117618267750592
2.2488977955911826,-1.0114580275116416
2.258517034068136,-1.011161463962652
2.26813627254509,-1.0108719934926542
2.277755511022044,-1.0105894749406032
2.287374749498998,-1.0103137686652257
2.296993987975952,-1.0100447365875311
2.306613226452906,-1.0097822422299796
2.31623246492986,-1.0095261507529814
2.325851703406814,-1.0092763289882174
2.335470941883768,-1.0090326454692147
2.3450901803607214,-1.0087949704590913
2.3547094188376754,-1.008563175975641
2.3643286573146294,-1.0083371358135835
2.3739478957915834,-1.008116725564437
2.383567134268537,-1.0079018226337184
2.393186372745491,-1.00769230625579
2.402805611222445,-1.0074880575063654
2.412424849699399,-1.007288959312716
2.422044088176353,-1.0070948964615885
2.4316633266533065,-1.006905755605253
2.4412825651302605,-1.0067214252603776
2.4509018036072145,-1.0065417958297478
2.4605210420841686,-1.0063667595724874
2.470140280561122,-1.00619621062237
2.479759519038076,-1.006030044979441
2.48937875751503,-1.005868160504887
2.498997995991984,-1.0057104569145383
2.508617234468938,-1.0055568357708702
2.5182364729458917,-1.0054072004735322
2.5278557114228457,-1.0052614562486906
2.5374749498997997,-1.005119510137086
2.5470941883767537,-1.004981270980978
2.5567134268537073,-1.004846649409901
2.5663326653306613,-1.0047155578255162
2.5759519038076153,-1.0045879103854953
2.5855711422845693,-1.0044636229864636
2.5951903807615233,-1.0043426132462487
2.604809619238477,-1.0042248004851613
2.614428857715431,-1.0041101057068644
2.624048096192385,-1.003998451578435
2.633667334669339,-1.003889762409752
2.6432865731462925,-1.0037839641326696
2.6529058116232465,-1.0036809842793708
2.6625250501002005,-1.0035807519595987
2.6721442885771545,-1.0034831978418794
2.6817635270541085,-1.0033882541260772
2.691382765531062,-1.003295854523393
2.701002004008016,-1.0032059342325932
2.71062124248497,-1.003118429916671
2.720240480961924,-1.0030332796793096
2.7298597194388776,-1.002950423041278
2.7394789579158316,-1.0028698009166848
2.7490981963927856,-1.0027913555891643
2.7587174348697396,-1.002715030688074
2.7683366733466936,-1.0026407711646514
2.777955911823647,-1.0025685232681953
2.787575150300601,-1.0024982345223152
2.797194388777555,-1.0024298537012593
2.8068136272545092,-1.0023633308062987
2.816432865731463,-1.002298617042269
2.826052104208417,-1.002235664794239
2.835671342685371,-1.0021744276043139
2.845290581162325,-1.0021148601486507
2.854909819639279,-1.0020569182145977
2.8645290581162324,-1.0020005586781002
2.8741482965931864,-1.0019457394813112
2.8837675350701404,-1.001892419610364
2.8933867735470944,-1.0018405590735013
2.903006012024048,-1.0017901188793596
2.912625250501002,-1.001741061015497
2.922244488977956,-1.0016933484273411
2.93186372745491,-1.001646944997185
2.941482965931864,-1.0016018155236441
2.9511022044088175,-1.0015579257013463
2.9607214428857715,-1.0015152421008886
2.9703406813627256,-1.001473732149134
2.9799599198396796,-1.0014333641097695
2.989579158316633,-1.001394107064221
2.999198396793587,-1.0013559308928912
3.008817635270541,-1.001318806256689
3.018436873747495,-1.0012827045790045
3.028056112224449,-1.001247598028064
3.0376753507014027,-1.0012134594997912
3.0472945891783567,-1.001180262601212
3.0569138276553107,-1.0011479816342197
3.0665330661322647,-1.0011165915818496
3.0761523046092183,-1.001086068077097
3.0857715430861723,-1.0010563874004845
3.0953907815631263,-1.0010275264480781
3.1050100200400803,-1.0009994627225658
3.1146292585170343,-1.0009721743267914
3.124248496993988,-1.0009456399535728
3.133867735470942,-1.0009198388697018
3.143486973947896,-1.0008947514449302
3.15310621242485,-1.0008703564038746
3.1627254509018035,-1.0008466362755002
3.1723446893787575,-1.000823571916273
3.1819639278557115,-1.0008011452287318
3.1915831663326655,-1.0007793386032222
3.2012024048096195,-1.0007581349070636
3.210821643286573,-1.000737517463132
3.220440881763527,-1.0007174700534798
3.230060120240481,-1.0006979768971302
3.239679358717435,-1.0006790226418874
3.2492985971943886,-1.0006605923515337
3.2589178356713426,-1.0006426714978225
3.2685370741482966,-1.00062524594802
3.2781563126252506,-1.000608301954547
3.2877755511022047,-1.0005918261447253
3.297394789579158,-1.0005758055147014
3.307014028056112,-1.0005602274095873
3.3166332665330662,-1.000545079529461
3.3262525050100202,-1.000530349907293
3.335871743486974,-1.0005160269087563
3.345490981963928,-1.0005020992055775
3.355110220440882,-1.0004885558012346
3.364729458917836,-1.0004753859947209
3.37434869739479,-1.000462579365987
3.3839679358717434,-1.000450125801326
3.3935871743486974,-1.00043801544976
3.4032064128256514,-1.000426238754389
3.4128256513026054,-1.0004147864088706
3.422444889779559,-1.0004036493600483
3.432064128256513,-1.000392818799472
3.441683366733467,-1.000382286183027
3.451302605210421,-1.000372043205259
3.460921843687375,-1.0003620817684826
3.4705410821643286,-1.000352394004152
3.4801603206412826,-1.0003429722857107
3.4897795591182366,-1.0003338091810452
3.4993987975951906,-1.0003248974522854
3.509018036072144,-1.0003162300832842
3.518637274549098,-1.0003078002377963
3.528256513026052,-1.0002996013174592
3.537875751503006,-1.000291626814265
3.54749498997996,-1.0002838704996029
3.5571142284569137,-1.0002763262770795
3.5667334669338677,-1.000268988177091
3.5763527054108217,-1.0002618504805831
3.5859719438877757,-1.0002549075755123
3.5955911823647293,-1.0002481540317458
3.6052104208416833,-1.0002415845297796
3.6148296593186373,-1.00023519392733
3.6244488977955913,-1.0002289772542083
3.6340681362725453,-1.0002229296512837
3.643687374749499,-1.0002170463534572
3.653306613226453,-1.0002113228132654
3.662925851703407,-1.0002057545553709
3.672545090180361,-1.000200337242753
3.6821643286573145,-1.0001950666632717
3.6917835671342685,-1.000189938718451
3.7014028056112225,-1.0001849494278092
3.7110220440881765,-1.000180094922801
3.7206412825651305,-1.0001753714425783
3.730260521042084,-1.0001707753324323
3.739879759519038,-1.0001663030514774
3.749498997995992,-1.0001619511138031
3.759118236472946,-1.0001577160888835
3.7687374749498996,-1.0001535948957965
3.7783567134268536,-1.0001495844509918
3.7879759519038076,-1.0001456811860612
3.7975951903807617,-1.0001418827984605
3.8072144288577157,-1.0001381858331757
3.8168336673346692,-1.000134587631814
3.8264529058116232,-1.0001310854625802
3.8360721442885772,-1.0001276766509961
3.8456913827655312,-1.000124358602708
3.855310621242485,-1.0001211287962508
3.864929859719439,-1.0001179847814392
3.874549098196393,-1.00011492417682
3.884168336673347,-1.0001119446691256
3.8937875751503004,-1.0001090440088853
3.9034068136272544,-1.0001062200097615
3.9130260521042084,-1.0001034705491565
3.9226452905811624,-1.0001007935638035
3.9322645290581164,-1.0000981870457712
3.94188376753507,-1.0000956490451678
3.951503006012024,-1.0000931776698532
3.961122244488978,-1.00009077107846
3.970741482965932,-1.0000884274810111
3.9803607214428856,-1.0000861451383658
3.9899799599198396,-1.0000839223622198
3.9995991983967936,-1.0000817575078467
4.009218436873748,-1.0000796489835724
4.018837675350701,-1.0000775952336367
4.028456913827655,-1.0000755947543025
4.038076152304609,-1.0000736460752802
4.047695390781563,-1.000071747781992
4.057314629258517,-1.0000698984804093
4.066933867735471,-1.00006809683193
4.076553106212424,-1.0000663415330537
4.086172344689379,-1.0000646313056474
4.095791583166332,-1.0000629649144774
4.105410821643287,-1.0000613411652302
4.11503006012024,-1.0000597588915703
4.124649298597194,-1.0000582169610235
4.134268537074148,-1.000056714268096
4.143887775551102,-1.0000552497393302
4.153507014028055,-1.0000538223421431
4.16312625250501,-1.0000524310585737
4.1727454909819635,-1.0000510749113838
4.182364729458918,-1.0000497529405705
4.1919839679358715,-1.0000484642177687
4.201603206412826,-1.0000472078431493
4.2112224448897795,-1.000045984628897
4.220841683366733,-1.0000447899810587
4.2304609218436875,-1.0000436241382085
4.240080160320641,-1.0000424886140642
4.2496993987975955,-1.0000413812850912
4.259318637274549,-1.0000403014066617
4.268937875751503,-1.000039248212037
4.278557114228457,-1.0000382209775962
4.288176352705411,-1.00003721904543
4.297795591182365,-1.0000362416973103
4.307414829659319,-1.0000352882712993
4.317034068136272,-1.0000343581521522
4.326653306613227,-1.000033450705297
4.33627254509018,-1.000032565321606
4.345891783567135,-1.0000317014014108
4.355511022044088,-1.0000308583782198
4.365130260521042,-1.0000300356929472
4.374749498997996,-1.000029232803763
4.38436873747495,-1.0000284491768285
4.393987975951903,-1.000027684318017
4.403607214428858,-1.0000269377107145
4.413226452905811,-1.000026208885138
4.422845691382766,-1.0000254973432254
4.432464929859719,-1.0000248026618004
4.442084168336673,-1.000024124365094
4.451703406813627,-1.0000234620386663
4.461322645290581,-1.0000228152358128
4.470941883767535,-1.0000221835929557
4.480561122244489,-1.0000215666885446
