R_angstrom,E_CCSD_aug-cc-pVTZ_Eh
1.9987975951903807,-1.0215357175282092
2.0084168336673347,-1.0210060897104623
2.0180360721442887,-1.0204874773999082
2.0276553106212423,-1.0199797259049903
2.0372745490981963,-1.0194826798669336
2.0468937875751503,-1.018996183377641
2.0565130260521043,-1.0185200800952057
2.0661322645290583,-1.0180542133539192
2.075751503006012,-1.0175984262797693
2.085370741482966,-1.0171525618971053
2.09498997995992,-1.0167164632133805
2.104609218436874,-1.0162899734209558
2.1142284569138274,-1.015872935832352
2.1238476953907814,-1.0154651941234945
2.1334669338677354,-1.015066592359895
2.1430861723446895,-1.0146769751074667
2.1527054108216435,-1.0142961875212593
2.162324649298597,-1.0139240754321375
2.171943887775551,-1.0135604854300082
2.181563126252505,-1.0132052649454106
2.191182364729459,-1.0128582623222762
2.200801603206413,-1.0125193269017765
2.2104208416833666,-1.0121883090876262
2.2200400801603206,-1.0118650604079793
2.2296593186372746,-1.01154943359199
2.2392785571142286,-1.0112412826231687
2.2488977955911826,-1.010940462763729
2.258517034068136,-1.0106468307867442
2.26813627254509,-1.0103602446888966
2.277755511022044,-1.0100805640291863
2.287374749498998,-1.009807649893188
2.296993987975952,-1.0095413649067964
2.306613226452906,-1.0092815732910763
2.31623246492986,-1.009028140898454
2.325851703406814,-1.0087809352460573
2.335470941883768,-1.008539825545728
2.3450901803607214,-1.0083046827319484
2.3547094188376754,-1.0080753794863073
2.3643286573146294,-1.0078517902598434
2.3739478957915834,-1.007633791292573
2.383567134268537,-1.0074212606305715
2.393186372745491,-1.0072140781406191
2.402805611222445,-1.0070121255225248
2.412424849699399,-1.0068152863191475
2.422044088176353,-1.0066234459067975
2.4316633266533065,-1.0064364915824844
2.4412825651302605,-1.0062543124219339
2.4509018036072145,-1.0060767994004602
2.4605210420841686,-1.0059038453586295
2.470140280561122,-1.0057353449926794
2.479759519038076,-1.0055711948563202
2.48937875751503,-1.0054112933553165
2.498997995991984,-1.0052555407410413
2.508617234468938,-1.0051038391024463
2.5182364729458917,-1.0049560923567165
2.5278557114228457,-1.0048122062385054
2.5374749498997997,-1.0046720882882705
2.5470941883767537,-1.004535647839087
2.5567134268537073,-1.0044027960026614
2.5663326653306613,-1.0042734456542448
2.5759519038076153,-1.0041475114165397
2.5855711422845693,-1.0040249096428675
2.5951903807615233,-1.0039055583995224
2.604809619238477,-1.0037893774471724
2.614428857715431,-1.0036762882218702
2.624048096192385,-1.0035662138151809
2.633667334669339,-1.0034590789539009
2.6432865731462925,-1.003354809979129
2.6529058116232465,-1.0032533348250348
2.6625250501002005,-1.0031545829969413
2.6721442885771545,-1.0030584855493059
2.6817635270541085,-1.0029649750631682
2.691382765531062,-1.0028739856234667
2.701002004008016,-1.0027854527959739
2.71062124248497,-1.0026993136039795
2.720240480961924,-1.0026155065051652
2.7298597194388776,-1.002533971367803
2.7394789579158316,-1.0024546494472857
2.7490981963927856,-1.0023774833623973
2.7587174348697396,-1.0023024170715478
2.7683366733466936,-1.0022293958490494
2.777955911823647,-1.002158366261409
2.787575150300601,-1.002089276143536
2.797194388777555,-1.00202207457531
2.8068136272545092,-1.0019567118588026
2.816432865731463,-1.001893139489631
2.826052104208417,-1.0018313101437728
2.835671342685371,-1.0017711776509701
2.845290581162325,-1.0017126969584824
2.854909819639279,-1.0016558241327804
2.8645290581162324,-1.0016005163134494
2.8741482965931864,-1.0015467317043414
2.8837675350701404,-1.0014944295483448
2.8933867735470944,-1.0014435701051352
2.903006012024048,-1.0013941146296867
2.912625250501002,-1.0013460253507753
2.922244488977956,-1.001299265449886
2.93186372745491,-1.001253799040498
2.941482965931864,-1.001209591147394
2.9511022044088175,-1.0011666076865466
2.9607214428857715,-1.0011248154450563
2.9703406813627256,-1.0010841820615546
2.9799599198396796,-1.001044676006814
2.989579158316633,-1.0010062665646495
