R_angstrom,E_root_0,E_root_1,E_root_2,E_root_3,E_root_4,E_root_5,E_root_6,E_root_7,E_root_8,E_root_9
0.7547738693467336,-1.1737627170394251,-0.6943361899098118,-0.5539829112700657,-0.48120077492307767,-0.30133384355019543,-0.21459839325222574,-0.10365474992047552,0.03226030735334773,0.06711470417908438,0.07955401658197259
0.778894472361809,-1.1730375131689081,-0.6992996508667148,-0.5598144624487987,-0.48550061693535806,-0.3073329821827214,-0.2275994516547647,-0.12509113272749905,0.00566940775590552,0.04967935021884429,0.06111462684242297
0.8030150753768843,-1.1717080061756415,-0.7034472319606692,-0.5648471822842792,-0.4889964015824474,-0.31249679494026594,-0.2415298757226616,-0.14351425528681483,-0.019436646242628863,0.033474276207700715,0.04399224370583299
0.8271356783919597,-1.169863238479332,-0.7068752318330598,-0.5691834491518006,-0.49178686252149406,-0.3169208626564961,-0.25654859216305126,-0.15900611982980895,-0.04312465418888345,0.018391628098821555,0.02807039773773079
0.8512562814070352,-1.1675803540411054,-0.709667788833343,-0.5729119318778914,-0.4939594663440302,-0.32068865152899795,-0.2725431164088583,-0.17188595380187632,-0.06544400766626601,0.004335356523530343,0.013245704629959776
0.8753768844221106,-1.1649263671265715,-0.7118986380392669,-0.5761093746693455,-0.4955924266471752,-0.3238732631848953,-0.2892060098727264,-0.18264383079126356,-0.0864212665873979,-0.008780461817359031,-0.000573928566527937
0.8994974874371859,-1.1619596343032708,-0.7136325771701771,-0.5788426504628895,-0.49675650160894047,-0.326538894106565,-0.3061716034187374,-0.19182031301314784,-0.10605216263672768,-0.021032926021910092,-0.01347080713652471
0.9236180904522613,-1.1587310846218948,-0.7149267024471087,-0.5811707901695975,-0.4975167392059334,-0.32874206165430664,-0.32311460998421926,-0.19992887287398964,-0.12428922660347941,-0.03249140427696906,-0.02551871818489293
0.9477386934673366,-1.1552852525885393,-0.7158314555387948,-0.5831468131197324,-0.49793433535532183,-0.33978403161502013,-0.33053263904646046,-0.20744606973427127,-0.14102449184889632,-0.04321847283029445,-0.03678400664842818
0.971859296482412,-1.1516611501984246,-0.7163915149040759,-0.5848192826669568,-0.49806880667351183,-0.3559973756964281,-0.33195473215725124,-0.21483783060418993,-0.15607322948787683,-0.05327072780476383,-0.04732649156511437
