R_angstrom,E_CCSD,E_exc_1,E_exc_2
3.5527638190954773,-0.9999217831686892,-0.6795428728765236,-0.6793556165250726
3.576884422110553,-0.9999041489677464,-0.6787392584366757,-0.6785709257322117
3.601005025125628,-0.9998876994348317,-0.6779408765174912,-0.6777897791621141
3.6251256281407036,-0.9998723651681465,-0.6771477561659509,-0.6770125498841281
3.6492462311557787,-0.9998580448654995,-0.6763598374225496,-0.6762392382540658
3.6733668341708543,-0.9998446801343048,-0.6755771486305029,-0.675469927832614
3.69748743718593,-0.999832205085379,-0.6747996875268905,-0.6747047480297264
3.721608040201005,-0.9998205584812065,-0.6740274745752505,-0.6739437946602875
3.7457286432160806,-0.9998096834080018,-0.6732604628996086,-0.6731871562265153
3.7698492462311557,-0.9997995269721927,-0.6724986721765704,-0.6724349146470672
3.7939698492462313,-0.999790040009569,-0.6717421010621419,-0.6716871459620506
3.8180904522613064,-0.9997811768230864,-0.6709907490813751,-0.6709439209590417
3.842211055276382,-0.9997728949321848,-0.670244616839623,-0.6702053057762409
3.8663316582914575,-0.9997651548418809,-0.669503706216298,-0.6694713624491268
3.8904522613065327,-0.9997579198408315,-0.6687680205143676,-0.6687421493907436
3.9145728643216082,-0.9997511557619223,-0.6680375646393338,-0.6680176510478263
3.9386934673366834,-0.9997448308739038,-0.6673123451522085,-0.6672980554803063
3.962814070351759,-0.9997389156682517,-0.6665923704091301,-0.666583347941577
3.986934673366834,-0.9997333826587971,-0.6658776506304335,-0.6658735767890989
4.011055276381909,-0.9997282064834165,-0.6651687888743126,-0.6651681971337287
4.035175879396984,-0.9997233629985269,-0.6644690281873217,-0.6644640262915569
4.05929648241206,-0.9997188331292621,-0.6637743271253209,-0.6637651479862464
4.083417085427135,-0.9997145920064823,-0.6630847539915266,-0.6630715906335289
4.107537688442211,-0.9997106206500104,-0.6624004569242242,-0.6623833687833623
4.131658291457287,-0.9997068990842946,-0.661721258861024,-0.6617005044409586
4.155778894472362,-0.9997034170527643,-0.6610472747789318,-0.6610230188300308
4.179899497487437,-0.9997001564783708,-0.6603785799751858,-0.6603509377685214
4.204020100502513,-0.9996970990661045,-0.6597152103247808,-0.6596842884140977
4.228140703517588,-0.9996942333569148,-0.6590571997721324,-0.6590230975688048
4.252261306532663,-0.9996915471987325,-0.6584045848593331,-0.6583673945692516
4.276381909547739,-0.9996890269997194,-0.6577574078991291,-0.6577172100908923
4.300502512562814,-0.9996866631550424,-0.6571157045741156,-0.657072573945841
4.324623115577889,-0.9996844448132483,-0.6564795131245598,-0.6564335184485338
4.3487437185929645,-0.9996823729069484,-0.6558488485391804,-0.655800071238056
4.3728643216080405,-0.9996804062826284,-0.6552238152009578,-0.6551722802019289
4.396984924623116,-0.9996785687260196,-0.6546043818598977,-0.6545501640541512
4.421105527638191,-0.9996768408891255,-0.6539906083492355,-0.6539337617801109
4.445226130653267,-0.9996752297659993,-0.6533825025574205,-0.6533231014907085
4.469346733668342,-0.9996736959992966,-0.6527801628397364,-0.6527182310774025
4.493467336683417,-0.9996722531436851,-0.652183610543528,-0.6521191761209989
4.517587939698492,-0.9996708959705394,-0.651592826175872,-0.6515259705188566
4.541708542713568,-0.999669619036771,-0.6510078694136499,-0.650938648302732
4.565829145728643,-0.9996684151396437,-0.6504287771057644,-0.6503572440702072
4.589949748743718,-0.9996672805408926,-0.6498555802125016,-0.6497817911171352
4.6140703517587935,-0.9996662099511676,-0.6492883124649057,-0.6492123231654496
4.63819095477387,-0.9996651985878033,-0.6487270067611812,-0.648648873608795
4.662311557788945,-0.9996642428177571,-0.6481716943407423,-0.6480914753831706
4.68643216080402,-0.9996633395935013,-0.6476224057419794,-0.6475401611534912
4.710552763819096,-0.9996624835260508,-0.6470791751992025,-0.6469949642119003
4.734673366834171,-0.99966167328809,-0.6465420097520308,-0.6464559166379104
4.758793969849246,-0.9996609053881588,-0.6460109862535666,-0.6459230512068068
4.782914572864321,-0.999660176316845,-0.6454861139854793,-0.6453964008659153
4.807035175879397,-0.9996594843218961,-0.6449674231647636,-0.6448759981908195
4.831155778894472,-0.9996588275397986,-0.6444549446420815,-0.6443618760374635
4.8552763819095475,-0.9996582027480154,-0.6439487122449649,-0.6438540683824824
4.8793969849246235,-0.9996576088305447,-0.6434487567849023,-0.6433526086115167
4.903517587939699,-0.999657044259208,-0.6429551107400329,-0.6428575328872208
4.927638190954774,-0.999656505112559,-0.6424678116497722,-0.6423688733068552
4.951758793969849,-0.9996559909039324,-0.6419868912825545,-0.6418866672629613
4.975879396984925,-0.9996555004404533,-0.6415123852300225,-0.6414109506160367
5.0,-0.9996550323675111,-0.641044329211508,-0.6409417632074146
